time_window,total_iterations,iterations,converged,qn_columns,deleted_qn_columns,dropped_qn_columns
595,1435,2,1,9,0,0
596,1437,2,1,10,0,0
597,1439,2,1,10,1,0
598,1441,2,1,10,1,0
599,1443,2,1,10,1,0
600,1445,2,1,10,1,0
601,1447,2,1,9,2,0
602,1449,2,1,9,1,0
603,1451,2,1,8,2,0
604,1453,2,1,9,0,0
605,1455,2,1,9,1,0
606,1457,2,1,10,0,0
607,1459,2,1,10,1,0
608,1461,2,1,10,1,0
609,1463,2,1,10,1,0
610,1465,2,1,9,2,0
611,1467,2,1,9,1,0
612,1469,2,1,9,1,0
613,1471,2,1,9,1,0
614,1473,2,1,9,1,0
615,1475,2,1,9,1,0
616,1477,2,1,9,1,0
617,1479,2,1,9,1,0
618,1481,2,1,8,2,0
619,1483,2,1,8,1,0
620,1485,2,1,8,1,0
621,1487,2,1,8,1,0
622,1489,2,1,8,1,0
623,1491,2,1,8,1,0
624,1493,2,1,8,1,0
625,1495,2,1,8,1,0
626,1497,2,1,8,1,0
627,1499,2,1,8,1,0
628,1501,2,1,8,1,0
629,1503,2,1,9,0,0
630,1505,2,1,9,1,0
631,1507,2,1,9,1,0
632,1509,2,1,9,1,0
633,1511,2,1,10,0,0
634,1513,2,1,10,1,0
635,1515,2,1,9,2,0
636,1517,2,1,8,2,0
637,1519,2,1,8,1,0
638,1521,2,1,8,1,0
639,1523,2,1,8,1,0
640,1525,2,1,8,1,0
641,1527,2,1,8,1,0
642,1529,2,1,8,1,0
643,1531,2,1,8,1,0
644,1533,2,1,8,1,0
645,1535,2,1,8,1,0
646,1537,2,1,8,1,0
647,1539,2,1,9,0,0
648,1541,2,1,9,1,0
649,1543,2,1,8,2,0
650,1545,2,1,9,0,0
651,1547,2,1,9,1,0
652,1549,2,1,10,0,0
653,1551,2,1,9,2,0
654,1553,2,1,9,1,0
655,1555,2,1,9,1,0
656,1557,2,1,9,1,0
657,1559,2,1,9,1,0
658,1561,2,1,9,1,0
659,1563,2,1,10,0,0
660,1565,2,1,10,1,0
661,1567,2,1,10,1,0
662,1569,2,1,9,2,0
663,1571,2,1,10,0,0
664,1573,2,1,10,1,0
665,1575,2,1,10,1,0
666,1577,2,1,10,1,0
667,1579,2,1,10,1,0
668,1581,2,1,10,1,0
669,1583,2,1,10,0,1
670,1585,2,1,10,1,0
671,1587,2,1,10,1,0
672,1589,2,1,10,1,0
673,1591,2,1,10,1,0
674,1593,2,1,10,1,0
675,1595,2,1,10,1,0
676,1597,2,1,9,2,0
677,1599,2,1,10,0,0
678,1601,2,1,10,1,0
679,1603,2,1,9,2,0
680,1605,2,1,10,0,0
681,1607,2,1,10,0,1
682,1609,2,1,10,1,0
683,1611,2,1,10,1,0
684,1613,2,1,10,1,0
685,1615,2,1,10,1,0
686,1617,2,1,9,2,0
687,1619,2,1,10,0,0
688,1621,2,1,10,1,0
689,1623,2,1,10,0,1
690,1625,2,1,10,0,1
691,1627,2,1,9,2,0
692,1629,2,1,10,0,0
693,1631,2,1,10,1,0
694,1633,2,1,9,2,0
695,1635,2,1,9,1,0
696,1637,2,1,10,0,0
697,1639,2,1,10,0,1
698,1641,2,1,10,0,1
699,1643,2,1,10,1,0
700,1645,2,1,10,1,0
701,1647,2,1,10,1,0
702,1649,2,1,10,1,0
703,1651,2,1,10,0,1
704,1653,2,1,10,0,1
705,1655,2,1,10,0,1
706,1657,2,1,10,0,1
707,1659,2,1,10,1,0
708,1661,2,1,10,0,1
709,1663,2,1,10,0,1
710,1665,2,1,10,0,1
711,1667,2,1,10,1,0
712,1669,2,1,10,0,1
713,1671,2,1,10,0,1
714,1673,2,1,10,1,0
715,1675,2,1,10,0,1
716,1677,2,1,10,0,1
717,1679,2,1,10,0,1
718,1681,2,1,10,0,1
719,1683,2,1,10,0,1
720,1685,2,1,10,0,1
721,1687,2,1,10,0,1
722,1689,2,1,10,0,1
723,1691,2,1,10,0,1
724,1693,2,1,10,0,1
725,1695,2,1,10,0,1
726,1697,2,1,10,0,1
727,1699,2,1,10,0,1
728,1701,2,1,10,0,1
729,1703,2,1,10,0,1
730,1705,2,1,10,0,1
731,1707,2,1,10,0,1
732,1709,2,1,10,0,1
733,1711,2,1,10,0,1
734,1713,2,1,10,0,1
735,1715,2,1,10,0,1
736,1717,2,1,10,0,1
737,1719,2,1,10,0,1
738,1721,2,1,10,0,1
739,1723,2,1,10,0,1
740,1725,2,1,10,0,1
741,1727,2,1,10,0,1
742,1729,2,1,10,0,1
743,1731,2,1,10,0,1
744,1733,2,1,10,0,1
745,1735,2,1,10,0,1
746,1737,2,1,10,0,1
747,1739,2,1,10,0,1
748,1741,2,1,10,0,1
749,1743,2,1,10,0,1
750,1745,2,1,10,0,1
751,1747,2,1,10,0,1
752,1749,2,1,10,0,1
753,1751,2,1,10,0,1
754,1753,2,1,10,0,1
755,1755,2,1,10,0,1
756,1757,2,1,10,0,1
757,1759,2,1,10,0,1
758,1761,2,1,10,0,1
759,1763,2,1,10,0,1
760,1765,2,1,10,0,1
761,1767,2,1,10,0,1
762,1769,2,1,10,0,1
763,1771,2,1,10,0,1
764,1773,2,1,10,0,1
765,1775,2,1,10,0,1
766,1777,2,1,10,0,1
767,1779,2,1,10,0,1
768,1781,2,1,10,0,1
769,1783,2,1,10,0,1
770,1785,2,1,10,0,1
771,1787,2,1,10,0,1
772,1789,2,1,10,0,1
773,1791,2,1,10,0,1
774,1793,2,1,10,0,1
775,1795,2,1,10,0,1
776,1797,2,1,10,0,1
777,1799,2,1,10,0,1
778,1801,2,1,10,0,1
779,1803,2,1,10,0,1
780,1805,2,1,10,0,1
781,1807,2,1,10,0,1
782,1809,2,1,10,0,1
783,1811,2,1,10,0,1
784,1813,2,1,10,0,1
785,1815,2,1,10,0,1
786,1817,2,1,10,0,1
787,1819,2,1,10,0,1
788,1821,2,1,10,0,1
789,1823,2,1,10,0,1
790,1825,2,1,10,0,1
791,1827,2,1,10,0,1
792,1829,2,1,10,0,1
793,1831,2,1,10,0,1
794,1833,2,1,10,0,1
795,1835,2,1,10,0,1
796,1837,2,1,10,0,1
797,1839,2,1,10,0,1
798,1841,2,1,10,0,1
799,1843,2,1,10,0,1
800,1845,2,1,10,0,1
801,1847,2,1,10,0,1
802,1849,2,1,10,0,1
803,1851,2,1,10,0,1
804,1853,2,1,10,0,1
805,1855,2,1,10,0,1
806,1857,2,1,10,0,1
807,1859,2,1,10,0,1
808,1861,2,1,10,0,1
809,1863,2,1,10,0,1
810,1865,2,1,10,0,1
811,1867,2,1,10,0,1
812,1869,2,1,10,0,1
813,1871,2,1,10,0,1
814,1873,2,1,10,0,1
815,1875,2,1,10,0,1
816,1877,2,1,10,0,1
817,1879,2,1,10,0,1
818,1881,2,1,10,0,1
819,1883,2,1,10,0,1
820,1885,2,1,10,0,1
821,1887,2,1,10,0,1
822,1889,2,1,10,0,1
823,1891,2,1,10,0,1
824,1893,2,1,10,0,1
825,1895,2,1,10,0,1
826,1897,2,1,10,0,1
827,1899,2,1,10,0,1
828,1901,2,1,10,0,1
829,1903,2,1,10,0,1
830,1905,2,1,10,0,1
831,1907,2,1,10,0,1
832,1909,2,1,10,0,1
833,1911,2,1,10,0,1
834,1913,2,1,10,0,1
835,1915,2,1,10,0,1
836,1917,2,1,10,0,1
837,1919,2,1,10,0,1
838,1921,2,1,10,0,1
839,1923,2,1,10,0,1
840,1925,2,1,10,0,1
841,1927,2,1,10,0,1
842,1929,2,1,10,0,1
843,1931,2,1,10,0,1
844,1933,2,1,10,0,1
845,1935,2,1,10,0,1
846,1937,2,1,10,0,1
847,1939,2,1,10,0,1
848,1941,2,1,10,0,1
849,1943,2,1,10,0,1
850,1945,2,1,10,0,1
851,1947,2,1,10,0,1
852,1949,2,1,10,0,1
853,1951,2,1,10,0,1
854,1953,2,1,10,0,1
855,1955,2,1,10,0,1
856,1957,2,1,10,0,1
857,1959,2,1,10,0,1
858,1961,2,1,10,0,1
859,1963,2,1,10,0,1
860,1965,2,1,10,0,1
861,1967,2,1,10,0,1
862,1969,2,1,10,0,1
863,1971,2,1,10,0,1
864,1973,2,1,10,0,1
865,1975,2,1,10,0,1
866,1977,2,1,10,0,1
867,1979,2,1,10,0,1
868,1981,2,1,10,0,1
869,1983,2,1,10,0,1
870,1985,2,1,10,0,1
871,1987,2,1,10,0,1
872,1989,2,1,10,0,1
873,1991,2,1,10,0,1
874,1993,2,1,10,0,1
875,1995,2,1,10,0,1
876,1997,2,1,10,0,1
877,1999,2,1,10,0,1
878,2001,2,1,10,0,1
879,2003,2,1,10,0,1
880,2005,2,1,10,0,1
881,2007,2,1,10,0,1
882,2009,2,1,10,0,1
883,2011,2,1,10,0,1
884,2013,2,1,10,0,1
885,2015,2,1,10,0,1
886,2017,2,1,10,0,1
887,2019,2,1,10,0,1
888,2021,2,1,10,0,1
889,2023,2,1,10,0,1
890,2025,2,1,10,0,1
891,2027,2,1,10,0,1
892,2029,2,1,10,0,1
893,2031,2,1,10,0,1
894,2033,2,1,10,0,1
895,2035,2,1,10,0,1
896,2037,2,1,10,0,1
897,2039,2,1,10,0,1
898,2041,2,1,10,0,1
899,2043,2,1,10,0,1
900,2045,2,1,10,0,1
901,2047,2,1,10,0,1
902,2049,2,1,10,0,1
903,2051,2,1,10,0,1
904,2053,2,1,10,0,1
905,2055,2,1,10,0,1
906,2057,2,1,10,0,1
907,2059,2,1,10,0,1
908,2061,2,1,10,0,1
909,2063,2,1,10,0,1
910,2065,2,1,10,0,1
911,2067,2,1,10,0,1
912,2069,2,1,10,0,1
913,2071,2,1,10,0,1
914,2073,2,1,10,0,1
915,2075,2,1,10,0,1
916,2077,2,1,10,0,1
917,2079,2,1,10,0,1
918,2081,2,1,10,0,1
919,2083,2,1,10,0,1
920,2085,2,1,10,0,1
921,2087,2,1,10,0,1
922,2089,2,1,10,0,1
923,2091,2,1,10,0,1
924,2093,2,1,10,0,1
925,2095,2,1,10,0,1
926,2097,2,1,10,0,1
927,2099,2,1,10,0,1
928,2101,2,1,10,0,1
929,2103,2,1,10,0,1
930,2105,2,1,10,0,1
931,2107,2,1,10,0,1
932,2109,2,1,10,0,1
933,2111,2,1,10,0,1
934,2113,2,1,10,0,1
935,2115,2,1,10,0,1
936,2117,2,1,10,0,1
937,2119,2,1,10,0,1
938,2121,2,1,10,0,1
939,2123,2,1,10,0,1
940,2125,2,1,10,0,1
941,2127,2,1,10,0,1
